#{"t_start": 1763988109.472283, "env_id": "None"}
r,l,t
27.605077,50,0.009959
27.945913,50,0.011124
29.427338,50,0.012285
28.386457,50,0.013418
27.246947,50,0.015115
30.093219,50,0.016273
27.868961,50,0.017424
29.90961,50,0.018565
30.019885,50,0.02017
25.241238,50,0.0213
28.43522,50,0.022447
26.688205,50,0.023572
28.023235,50,0.025037
29.188128,50,0.026179
29.485726,50,0.027325
29.045027,50,0.028458
28.658629,50,0.029933
28.939019,50,0.031061
29.880683,50,0.032204
30.688988,50,0.033339
29.178959,50,0.034874
31.666886,50,0.036155
28.158685,50,0.037322
27.740782,50,0.03846
24.960131,50,0.039987
30.438066,50,0.041129
29.285932,50,0.042276
29.230992,50,0.043413
28.55628,50,0.044833
25.187231,50,0.045974
26.505444,50,0.047132
26.663884,50,0.048267
30.575852,50,0.049841
30.72018,50,0.050992
27.323079,50,0.052145
32.401069,50,0.053278
31.266494,50,0.054769
29.969086,50,0.055908
30.393474,50,0.057056
28.210546,50,0.058188
28.793861,50,0.059671
29.71702,50,0.060812
27.224955,50,0.061959
31.043108,50,0.063086
28.168231,50,0.064541
30.184539,50,0.065675
30.005435,50,0.06682
31.515231,50,0.067953
25.706129,50,0.06939
25.342595,50,0.070533
26.53323,50,0.071677
29.059814,50,0.072812
28.865414,50,0.074374
31.330003,50,0.075519
29.418588,50,0.076731
28.826486,50,0.077876
28.66941,50,0.0794
29.895283,50,0.080533
30.584217,50,0.081675
29.68464,50,0.082797
29.56793,50,0.08425
26.672029,50,0.085389
28.496124,50,0.08654
28.145466,50,0.087676
28.765287,50,0.089154
29.808927,50,0.090351
27.817038,50,0.091516
24.881938,50,0.092713
31.051442,50,0.094293
29.087501,50,0.095444
27.618635,50,0.096591
28.083206,50,0.097723
28.778154,50,0.099475
29.782111,50,0.100619
28.558513,50,0.101761
27.762439,50,0.102889
29.139755,50,0.104355
26.855501,50,0.105489
27.309222,50,0.106633
26.798343,50,0.107759
28.327171,50,0.109257
27.218622,50,0.110399
28.340886,50,0.111629
29.158186,50,0.112775
28.992732,50,0.11435
28.928134,50,0.115498
31.663137,50,0.11665
28.92682,50,0.117794
26.424839,50,0.119284
26.596177,50,0.120426
27.398019,50,0.121578
29.54427,50,0.12272
30.1899,50,0.124205
28.410471,50,0.125365
29.501203,50,0.126526
27.687756,50,0.127659
28.311129,50,0.129151
23.977818,50,0.130297
29.027456,50,0.131447
30.19427,50,0.132586
27.811213,50,0.134074
28.998842,50,0.135221
