#{"t_start": 1764146823.2101052, "env_id": "None"}
r,l,t
32.218085,20,0.009125
36.615611,32,0.015593
46.71612,60,0.027309
46.102601,48,0.036721
40.806928,60,0.082319
42.128921,44,0.091223
41.780961,39,0.098838
31.236132,20,0.102778
41.658143,38,0.11021
37.211096,30,0.116439
28.31314,13,0.122503
26.939406,10,0.124587
27.033667,10,0.126628
27.539815,11,0.128846
26.334994,9,0.130664
27.291688,11,0.132889
26.28892,9,0.134704
26.929988,10,0.1367
26.758677,10,0.138719
26.285727,9,0.140511
26.28522,9,0.142338
26.887999,11,0.144558
26.432055,9,0.146361
27.748271,11,0.148695
26.345842,9,0.150771
26.91972,10,0.152904
26.361686,9,0.154763
26.380885,9,0.156644
26.961407,11,0.158917
26.314359,9,0.160759
27.334986,12,0.166416
26.347247,9,0.168374
26.373195,9,0.170226
26.382315,9,0.172092
26.354449,9,0.173928
26.390012,9,0.175758
26.347869,9,0.177576
26.409962,9,0.179404
26.382786,9,0.181212
26.463482,10,0.183202
26.299743,9,0.185036
26.302992,9,0.186851
26.361361,9,0.188652
26.992969,10,0.190635
26.820165,10,0.192624
27.220398,10,0.194617
26.40226,9,0.196422
26.381055,9,0.198213
26.331582,9,0.200033
26.441277,9,0.201836
26.320182,9,0.203636
26.390523,9,0.205428
27.224178,11,0.210703
26.432501,9,0.212564
26.332275,9,0.214383
26.386018,9,0.216202
27.830354,11,0.218426
26.946856,10,0.220431
26.752238,10,0.222427
26.349304,9,0.224224
26.8876,10,0.226218
26.371795,9,0.228007
26.435681,9,0.229799
26.351539,9,0.231597
26.384846,9,0.233408
26.290923,9,0.235209
27.01726,10,0.237182
26.442831,9,0.239009
26.328318,9,0.240791
26.438056,9,0.242588
26.321792,9,0.244372
26.401841,9,0.246157
26.345912,9,0.24794
26.357829,9,0.252803
26.348108,9,0.254706
26.397378,9,0.256547
26.380831,9,0.258392
26.393044,9,0.260211
26.332884,9,0.262
26.464619,9,0.263797
26.436133,9,0.265587
26.33533,9,0.267383
26.402414,9,0.269165
26.35761,9,0.27095
26.324708,9,0.272745
26.339792,9,0.274528
26.280586,9,0.276317
26.896262,10,0.278329
26.320807,9,0.280123
26.93096,10,0.282132
26.358468,9,0.28393
26.356516,9,0.285727
26.397081,9,0.287509
26.338903,9,0.289317
26.365061,9,0.291096
26.405537,9,0.295853
26.513462,10,0.297985
26.720019,10,0.300009
26.465591,10,0.302019
26.336861,9,0.303812
26.251877,9,0.305613
26.356632,9,0.307417
26.348404,9,0.309206
26.360574,9,0.310987
26.409704,9,0.312768
26.387056,9,0.314534
26.406524,9,0.316333
26.365743,9,0.318142
26.380332,9,0.319919
26.87336,10,0.321926
26.314334,9,0.323701
26.315409,9,0.325485
26.403891,9,0.32726
26.372292,9,0.329039
26.394115,9,0.330811
26.265003,9,0.332579
26.336594,9,0.33435
26.394065,9,0.339082
26.37918,9,0.340942
26.903103,10,0.342943
26.358501,9,0.344747
26.407981,9,0.346534
26.388233,9,0.348319
26.394441,9,0.350111
26.362408,9,0.35189
26.406822,9,0.35369
26.322125,9,0.355478
26.408334,9,0.357261
26.324269,9,0.359106
26.272724,9,0.360916
26.314747,9,0.362703
26.318098,9,0.364488
26.336144,9,0.366252
26.352647,9,0.368021
26.278922,9,0.369792
26.328219,9,0.371566
26.404775,9,0.373343
26.425048,9,0.375127
26.42384,9,0.376898
26.441935,9,0.381768
26.378176,9,0.383661
26.450807,9,0.385484
26.33669,9,0.387281
26.362095,9,0.389073
26.383227,9,0.390864
26.399537,9,0.392678
26.328002,9,0.394497
26.367407,9,0.396269
26.250292,9,0.398092
26.400225,9,0.399888
26.327923,9,0.401675
26.365503,9,0.403444
26.423753,9,0.405225
26.385922,9,0.407018
26.39295,9,0.408803
26.353165,9,0.410575
26.321677,9,0.412395
26.349837,9,0.41417
26.317621,9,0.415942
26.37836,9,0.417751
26.326176,9,0.419536
26.370732,9,0.421328
26.416563,9,0.426079
26.381228,9,0.427914
26.409326,9,0.429723
26.4061,9,0.431525
26.405454,9,0.433318
26.368469,9,0.435134
26.40903,9,0.436921
26.383095,9,0.438724
26.370928,9,0.440517
26.411222,9,0.442307
26.413296,9,0.444088
26.317755,9,0.445879
26.276849,9,0.447667
26.309862,9,0.449483
26.926279,10,0.451465
26.369423,9,0.453246
26.358028,9,0.455035
26.339251,9,0.456813
26.428933,9,0.458597
26.396895,9,0.460384
26.398019,9,0.462163
26.378399,9,0.463946
26.257308,9,0.468724
26.385781,9,0.470548
26.405153,9,0.472352
26.317334,9,0.474166
26.378054,9,0.475966
26.38608,9,0.477753
26.372803,9,0.479525
26.346328,9,0.481301
26.256669,9,0.483082
26.464601,9,0.484859
26.340692,9,0.486633
26.367904,9,0.488417
26.332596,9,0.490206
26.392234,9,0.491984
26.317379,9,0.493763
26.38092,9,0.495526
26.399386,9,0.497303
26.396228,9,0.499106
26.349824,9,0.500891
26.355547,9,0.502662
26.428432,9,0.504439
26.341168,9,0.50623
26.314774,9,0.511013
26.397451,9,0.512851
26.298545,9,0.51466
26.294062,9,0.516449
26.29903,9,0.518264
26.426064,9,0.520059
26.427771,9,0.521836
26.358528,9,0.523647
26.394584,9,0.52544
26.990789,10,0.527428
26.412071,9,0.52921
26.383174,9,0.530994
26.279189,9,0.532782
26.872257,10,0.534773
27.28261,10,0.536749
26.258771,9,0.538534
26.361191,9,0.540339
26.399168,9,0.542151
26.411161,9,0.54394
26.352444,9,0.545727
26.374571,9,0.547499
26.36735,9,0.549275
26.31412,9,0.554279
26.331269,9,0.556181
26.336932,9,0.558017
26.366923,9,0.559835
26.400358,9,0.561663
26.368769,9,0.563491
26.820386,10,0.565508
26.408321,9,0.567298
26.387934,9,0.569101
26.344547,9,0.570893
26.373924,9,0.572702
26.349874,9,0.574492
26.327862,9,0.576299
26.33059,9,0.578101
26.420288,9,0.5799
26.413704,10,0.581882
26.389888,9,0.583873
26.371718,9,0.585754
26.393102,9,0.587577
26.400625,9,0.589383
27.368306,11,0.591555
26.381355,9,0.593361
26.78152,10,0.599064
26.380005,9,0.600926
26.380265,9,0.602787
26.311358,9,0.604589
26.387456,9,0.606396
26.446774,9,0.608213
26.300009,9,0.610011
26.434188,9,0.611807
26.363153,9,0.613604
26.382446,9,0.615401
26.382949,9,0.617208
26.34197,9,0.619067
26.368212,9,0.620851
26.40407,9,0.622634
26.348411,9,0.624707
26.279348,9,0.626532
26.368101,9,0.628355
26.336914,9,0.630152
26.373779,9,0.63197
26.316286,9,0.633778
26.346267,9,0.635566
26.372724,9,0.637363
26.357424,9,0.64262
26.338046,9,0.644451
26.949084,10,0.646451
26.384353,9,0.648249
26.388197,9,0.650034
26.27868,9,0.65183
26.900133,10,0.654133
26.309529,9,0.655976
