#{"t_start": 1764064732.745829, "env_id": "None"}
r,l,t
23.517104,50,0.013633
29.330495,50,0.015741
24.20187,36,0.017119
38.380814,50,0.018947
26.794243,50,0.021395
26.540647,50,0.023234
30.218052,49,0.025003
25.314065,50,0.026913
26.228861,50,0.029323
24.614499,50,0.031155
25.03493,39,0.032593
28.463794,50,0.034432
38.076719,50,0.036627
28.990124,50,0.038462
28.849457,50,0.040264
25.517718,40,0.04172
27.200475,50,0.044035
23.214027,37,0.045397
26.574445,42,0.046963
28.37039,46,0.048612
28.772369,50,0.050911
24.414683,38,0.052298
21.891339,50,0.054108
40.038858,50,0.055936
25.353557,41,0.057856
21.35328,50,0.059698
27.77241,50,0.061519
24.365151,36,0.062821
24.655341,50,0.065198
22.743946,33,0.066438
27.193502,43,0.068012
24.83385,36,0.069335
25.902015,42,0.071395
26.199386,41,0.072923
25.959646,50,0.074745
28.098841,50,0.076676
25.135878,50,0.079118
24.711831,50,0.080963
25.094499,50,0.082816
27.843564,50,0.084676
26.488823,50,0.087167
25.897878,42,0.088753
28.459026,50,0.090554
23.612631,50,0.092389
28.658946,47,0.094545
24.679779,50,0.096365
27.393032,50,0.09821
26.064184,44,0.099803
38.501634,50,0.102106
29.915225,50,0.103925
29.807868,49,0.105713
27.297402,50,0.107527
29.32872,50,0.109769
26.817158,50,0.111571
22.449534,50,0.113404
26.43423,44,0.114991
26.962774,50,0.11723
25.236867,50,0.119065
28.983279,43,0.120606
26.773509,50,0.12241
27.452742,50,0.124638
28.029018,50,0.126552
27.178224,50,0.128384
29.205409,50,0.130398
28.154405,47,0.132777
25.595219,43,0.134356
26.225363,41,0.135865
24.790793,50,0.137657
29.20909,50,0.139971
28.258859,50,0.141789
27.072412,50,0.143618
26.586055,50,0.145413
24.884052,50,0.147751
27.184302,50,0.149615
25.753378,42,0.151147
29.327143,49,0.152945
28.675316,50,0.155204
26.177427,41,0.156752
27.455443,50,0.158554
26.2369,37,0.159906
27.723525,50,0.162266
28.12301,50,0.164089
26.481922,43,0.1657
27.76565,50,0.167531
27.167063,50,0.169738
25.741043,39,0.171204
26.225944,50,0.17307
25.212849,50,0.174897
23.682742,50,0.17715
26.047227,50,0.178978
26.979451,50,0.180783
26.641853,50,0.182606
24.771907,36,0.184369
26.085726,38,0.185819
23.641277,32,0.187003
25.208873,41,0.188516
27.554181,43,0.190553
25.92343,42,0.192123
28.49387,44,0.19371
26.600568,44,0.195407
27.676488,43,0.197768
28.001925,44,0.199392
40.629859,50,0.201192
23.838062,37,0.202538
23.549284,50,0.204841
21.782533,50,0.206704
25.94976,42,0.208274
23.485611,32,0.209454
18.180949,50,0.211676
28.221436,50,0.213502
26.157151,38,0.214877
25.815657,50,0.216693
27.01254,50,0.218931
27.958335,50,0.220779
26.948773,50,0.222596
27.894663,50,0.224441
23.336192,34,0.226109
29.30856,47,0.227854
25.64299,39,0.229276
26.368737,44,0.230889
26.46901,40,0.232736
29.118609,50,0.234523
22.116485,32,0.235685
24.266369,38,0.237075
23.592801,50,0.239274
26.473924,50,0.24109
21.447684,32,0.242316
25.395055,50,0.244156
29.930014,50,0.246807
27.562887,50,0.248673
22.97868,50,0.25054
17.328601,16,0.251149
27.858842,46,0.253302
27.927739,50,0.255122
23.690975,50,0.256912
25.671579,41,0.25842
27.17094,43,0.260425
25.252625,50,0.262258
28.467467,50,0.264076
29.832083,50,0.265909
27.948635,45,0.268008
27.05089,50,0.269838
26.196552,50,0.27167
27.857662,43,0.273267
27.765592,43,0.27535
27.365731,50,0.27715
25.539817,50,0.278966
30.105586,49,0.280785
25.069769,38,0.282567
28.765159,50,0.284381
23.478626,37,0.285718
28.095953,50,0.287524
27.275818,40,0.289388
24.799019,37,0.290745
29.908928,50,0.292532
27.524983,50,0.29435
28.402039,50,0.296561
28.102513,45,0.298207
22.223261,28,0.29927
29.754444,48,0.301004
22.411578,50,0.303285
28.502074,46,0.304972
28.250802,47,0.306661
24.91267,37,0.30806
28.69379,47,0.310277
24.924692,50,0.3121
26.664256,50,0.31394
25.282294,41,0.315447
22.973841,31,0.317081
25.841986,50,0.31889
19.730131,28,0.319913
26.449747,36,0.32122
26.248019,40,0.32314
27.762857,42,0.324683
29.224906,50,0.326528
26.50995,50,0.328316
25.957327,50,0.330587
28.244156,46,0.332298
23.680317,37,0.333737
24.825253,37,0.335084
28.467584,50,0.337284
27.35426,50,0.339101
26.869462,42,0.340645
27.587303,46,0.342327
22.300545,33,0.344015
24.702434,36,0.345372
27.814655,50,0.347204
27.192672,46,0.348854
27.206102,50,0.351058
29.206325,50,0.352849
25.887227,50,0.354662
23.376698,33,0.355893
26.098091,50,0.358245
27.012937,50,0.360072
24.39067,38,0.36157
25.136956,50,0.363433
38.826601,50,0.365847
27.318904,50,0.367698
25.704061,50,0.369495
25.402975,50,0.371308
25.573445,50,0.373618
25.372302,36,0.374967
27.826953,45,0.376638
22.659467,50,0.378437
26.682493,50,0.380676
27.004959,50,0.382509
24.919385,41,0.384036
24.350208,50,0.385872
30.174155,48,0.388141
29.15182,48,0.389912
27.707296,46,0.391588
28.503402,47,0.393303
26.022559,50,0.395591
26.481558,50,0.397395
30.084909,50,0.399236
23.867706,50,0.40104
25.716085,50,0.403373
28.173415,43,0.409812
22.093595,29,0.410929
25.977955,50,0.41274
38.930079,50,0.415136
28.817148,50,0.416959
25.505445,50,0.418832
26.036991,39,0.420256
30.079386,50,0.422639
23.4673,50,0.424458
25.514679,40,0.425929
26.012071,40,0.427379
28.139821,50,0.429695
24.576124,50,0.431539
24.527702,36,0.432876
22.862398,50,0.434706
26.879773,50,0.436966
29.604422,50,0.4388
21.168229,50,0.440606
27.356522,50,0.442447
28.337366,50,0.444702
23.79959,32,0.445919
29.405982,47,0.447666
23.284029,32,0.448846
24.030399,50,0.451113
40.701293,50,0.452951
28.321121,46,0.454627
23.834167,50,0.456434
27.858757,50,0.458717
29.680202,46,0.460387
26.895613,50,0.462203
25.734209,42,0.463716
28.335395,48,0.465877
23.210797,50,0.467692
26.815468,50,0.469486
25.770995,50,0.47132
24.599523,39,0.473271
25.779609,37,0.474697
26.26821,50,0.476518
24.509023,50,0.478339
27.433558,50,0.480568
23.775361,50,0.482399
31.329637,50,0.484195
29.722028,49,0.485961
27.117097,42,0.488109
27.081535,42,0.489664
28.945217,50,0.491508
25.56143,50,0.493315
25.439182,50,0.495605
23.294477,33,0.496827
27.349338,50,0.498689
25.809324,50,0.500506
23.914669,50,0.502722
26.423112,50,0.504557
28.400389,50,0.506372
22.274794,32,0.507574
25.609778,50,0.509838
28.926342,50,0.511659
27.230873,50,0.513462
39.061515,50,0.51528
28.837271,50,0.517487
27.158073,46,0.519174
27.601611,40,0.520625
24.62398,50,0.522428
28.89202,47,0.524833
27.312389,50,0.526649
25.787406,39,0.528078
31.693175,49,0.529858
21.986019,28,0.53153
27.461207,40,0.533168
27.596484,50,0.535031
26.312586,50,0.536835
40.137901,50,0.539378
27.754185,50,0.541201
26.001846,41,0.542736
25.187085,40,0.544205
20.028191,26,0.545813
21.722555,31,0.547035
28.304917,50,0.548925
28.055672,50,0.550824
25.889306,43,0.552861
25.288647,38,0.554264
27.770249,42,0.555807
23.642884,34,0.557042
24.774613,38,0.558912
23.064677,50,0.560729
27.772832,42,0.562305
21.79313,50,0.564124
27.313755,50,0.566397
38.329766,50,0.568195
27.098796,44,0.569783
28.429911,47,0.571506
25.076499,40,0.573389
22.575943,32,0.574604
26.998571,43,0.576168
28.16337,47,0.577887
29.226578,48,0.580019
27.30001,50,0.581855
27.174818,50,0.583655
29.560315,46,0.585338
28.823744,50,0.587587
25.944636,50,0.589417
23.589418,35,0.590704
37.813624,50,0.592572
21.777676,28,0.594401
27.115113,44,0.596061
26.575432,42,0.597644
21.180815,28,0.598696
37.958688,50,0.60108
28.957555,50,0.602907
26.255757,50,0.604709
28.813008,46,0.606388
24.742156,38,0.608169
23.917411,50,0.610002
29.223709,50,0.611888
30.527985,50,0.613951
18.939129,22,0.615793
23.82926,36,0.617156
27.208848,50,0.619012
24.001625,34,0.620276
26.125626,42,0.622398
23.428324,50,0.624233
24.979236,42,0.625787
29.570994,50,0.627605
28.278821,50,0.629962
28.274782,47,0.63167
26.556895,50,0.633514
29.972001,50,0.635353
22.592226,32,0.637683
23.470554,50,0.63962
24.18084,39,0.643037
29.177291,50,0.645478
23.591006,50,0.648139
19.048703,23,0.649045
24.67869,50,0.650866
28.040591,50,0.652658
22.556887,33,0.654361
26.042518,50,0.656162
27.0755,50,0.657978
29.456469,48,0.659781
27.884263,50,0.662121
29.156811,45,0.663817
28.09592,50,0.665737
23.478018,33,0.666999
28.796603,45,0.669156
23.956784,50,0.671036
29.339017,50,0.672997
28.154423,44,0.674659
26.52296,42,0.677038
26.121922,50,0.678938
26.74528,50,0.680847
28.982016,48,0.682709
21.758579,30,0.684257
23.848039,50,0.686104
29.086587,50,0.687927
26.572827,50,0.689764
25.453095,41,0.691836
25.939287,39,0.693387
27.841901,50,0.695277
25.231573,50,0.697114
22.751223,50,0.69939
23.462098,50,0.701236
20.407732,26,0.702203
27.225766,50,0.704032
24.921917,50,0.706691
24.460533,50,0.708533
27.620843,50,0.710418
24.02385,50,0.712771
24.527293,37,0.714818
27.490109,50,0.716653
25.410061,50,0.718461
28.754652,50,0.720313
27.110174,47,0.722592
26.783176,50,0.724446
26.707414,50,0.726241
39.462895,50,0.728055
27.102157,50,0.730318
27.063179,50,0.732218
26.825963,43,0.733795
24.990623,50,0.735603
29.344122,50,0.737954
26.741377,50,0.739766
26.577857,50,0.741586
26.163521,50,0.743385
27.518904,50,0.745725
26.389099,42,0.747284
26.549925,40,0.748752
26.030884,50,0.750576
28.217521,43,0.752695
23.26199,34,0.753978
25.005965,38,0.755363
24.475953,50,0.757195
26.176639,50,0.759655
22.047023,50,0.761648
21.288529,26,0.76264
38.940874,50,0.764498
29.890901,45,0.766707
27.155969,50,0.768535
25.406137,36,0.7699
26.937656,45,0.771549
27.720985,50,0.773942
29.699238,50,0.775827
21.042094,50,0.777628
19.40698,23,0.778493
26.561668,50,0.780877
27.891796,50,0.782744
25.856712,50,0.784598
41.44941,50,0.786528
21.371665,27,0.788206
23.762719,34,0.789491
25.274446,37,0.790868
27.934049,50,0.792693
28.610074,50,0.795036
28.870184,48,0.796816
22.608572,32,0.798003
24.920069,37,0.799344
23.19356,35,0.801045
23.047369,50,0.80294
26.366604,39,0.804393
28.661043,46,0.806057
28.143298,46,0.808254
29.914738,49,0.810029
27.985994,50,0.811842
25.119801,37,0.813776
26.959196,50,0.816021
26.535332,49,0.817817
25.557662,50,0.819687
26.413864,45,0.821356
28.994883,45,0.823633
29.563923,47,0.825363
26.426286,46,0.827052
28.460671,49,0.828967
23.961303,33,0.830817
23.93586,50,0.832689
28.500861,50,0.834542
24.453643,50,0.836369
24.342103,50,0.838858
26.573472,50,0.840724
27.77337,50,0.842571
25.940115,44,0.844167
23.952943,50,0.846458
25.988792,50,0.848268
24.989285,50,0.850098
28.132389,50,0.851895
24.382057,50,0.854309
24.343329,50,0.856172
25.819795,50,0.858005
27.436524,50,0.859817
25.115778,38,0.861761
26.565826,50,0.863578
25.189923,50,0.865422
26.803913,50,0.867231
27.964486,50,0.869498
24.080371,39,0.870964
24.443489,50,0.872775
24.458542,34,0.874047
27.563399,50,0.87651
23.293867,50,0.878485
26.71491,50,0.880306
26.478084,50,0.882156
25.882757,40,0.884225
26.357283,41,0.885725
26.403564,50,0.88759
22.838151,32,0.888798
26.89313,50,0.89126
26.022003,50,0.893089
30.796813,49,0.894883
20.825959,28,0.895917
26.305328,50,0.898381
27.718444,50,0.900231
27.14342,50,0.902053
27.212142,50,0.903931
26.568971,50,0.90618
26.964657,50,0.908031
23.151376,33,0.909256
26.661169,39,0.91069
24.447639,50,0.913036
27.347422,50,0.914878
26.718094,44,0.91647
39.674165,50,0.918261
23.094862,34,0.920022
28.437397,50,0.92186
23.262704,38,0.923275
23.560362,35,0.924541
29.200445,50,0.926793
20.270653,50,0.9286
27.093908,50,0.930416
27.421606,50,0.936259
25.702885,50,0.938835
20.66715,25,0.939775
24.820294,50,0.94162
27.346862,50,0.943424
28.734966,47,0.945797
21.871431,32,0.947033
27.188548,44,0.948662
39.246833,50,0.950485
27.273558,50,0.952802
30.164471,50,0.954607
27.700837,50,0.956443
22.203364,50,0.958262
26.894262,50,0.96068
29.065648,49,0.962476
31.84204,49,0.964272
28.580829,46,0.965977
29.826909,50,0.968305
22.484385,31,0.969458
24.251348,50,0.971278
27.63589,50,0.973091
24.893759,50,0.975511
25.255859,50,0.977329
27.006346,50,0.979173
21.93455,34,0.980403
29.943691,49,0.982614
24.619889,50,0.984435
25.55761,40,0.985897
29.456478,50,0.9877
30.274271,48,0.989962
28.806722,49,0.991826
25.426672,40,0.993392
28.135651,44,0.995111
27.890054,44,0.997378
25.356079,50,0.999287
25.246472,40,1.000738
28.924475,50,1.002556
26.082809,41,1.004491
26.451986,42,1.006047
28.547316,50,1.007864
26.829581,44,1.009461
23.270222,32,1.011183
28.713256,50,1.013055
29.811603,50,1.014919
25.229359,50,1.016717
29.657784,50,1.018948
25.456489,39,1.020372
40.363464,50,1.022199
27.914686,50,1.024021
27.096564,50,1.026233
24.049439,40,1.027718
25.753376,50,1.029608
25.893868,42,1.031119
23.605584,50,1.033341
26.936376,40,1.034833
23.89862,33,1.036047
25.173505,50,1.037853
26.950602,50,1.040142
24.008801,35,1.041437
23.811627,39,1.042839
24.553057,36,1.044438
29.262684,50,1.04724
28.910593,50,1.049106
27.016586,50,1.050937
24.183899,35,1.052229
28.072799,50,1.054612
25.644053,50,1.056445
30.876789,49,1.058223
26.935038,50,1.060087
22.816523,33,1.061808
23.829833,50,1.06362
28.496723,50,1.065443
29.011088,46,1.067103
29.467762,49,1.069329
27.002203,50,1.071165
24.823581,50,1.072963
24.959597,50,1.074781
27.501851,50,1.076996
28.271694,50,1.07884
27.25719,50,1.080635
28.824352,49,1.082432
27.494204,50,1.084769
26.813947,50,1.086587
29.141902,50,1.08839
21.173365,27,1.089408
39.964977,50,1.091627
26.220968,50,1.093478
28.349199,45,1.095111
25.137773,50,1.096936
26.565482,50,1.099155
28.828682,50,1.100984
28.348039,50,1.10278
39.639969,50,1.104601
25.614498,50,1.106874
27.219843,50,1.108724
26.524025,42,1.110271
28.879185,50,1.1121
23.807462,38,1.114051
28.397682,50,1.115911
25.697597,50,1.117729
25.139914,50,1.119558
24.489274,37,1.121437
39.665901,50,1.123251
26.318048,50,1.125068
22.578733,32,1.126244
26.271823,50,1.128491
21.950123,29,1.129629
25.492011,50,1.131437
26.493184,42,1.13301
26.379214,50,1.135253
26.083803,45,1.136889
28.527922,45,1.138559
39.921722,50,1.140363
24.421796,50,1.142642
27.893256,50,1.144441
27.347135,50,1.146324
23.551095,32,1.147525
29.12439,48,1.149705
26.486929,40,1.151164
26.6444,50,1.152953
26.909304,44,1.154552
28.707803,50,1.156772
26.524067,43,1.158323
27.711832,50,1.160159
28.308905,50,1.162162
25.135467,50,1.164574
23.613888,32,1.165761
28.504089,48,1.167494
20.972996,27,1.168487
39.213121,50,1.170678
28.532303,50,1.172532
22.667122,50,1.174347
25.090515,50,1.176198
26.600144,50,1.178422
25.279343,38,1.179824
23.438743,50,1.181634
27.965872,50,1.183459
26.976587,50,1.185673
24.996993,37,1.187025
26.355313,50,1.188881
24.984928,38,1.190266
