#{"t_start": 1764061687.901616, "env_id": "None"}
r,l,t
27.914321,44,0.00511
24.375697,40,0.006629
25.604573,50,0.008486
24.061725,50,0.010313
26.149138,50,0.012739
26.999346,40,0.014252
26.630318,50,0.016077
28.672822,46,0.017789
22.877878,34,0.019511
27.902166,50,0.021356
24.706867,50,0.0232
28.683634,48,0.025022
29.891613,48,0.027341
25.732293,50,0.029257
25.849033,46,0.030973
25.420213,50,0.032806
25.116515,40,0.034732
22.855819,31,0.035905
26.300037,50,0.037729
27.079584,50,0.039574
30.81721,50,0.042087
25.342464,38,0.043504
27.029481,43,0.045081
27.375845,43,0.04669
25.108364,39,0.048542
29.474509,49,0.050355
27.724064,50,0.052203
19.67231,26,0.053162
25.911896,50,0.055458
29.56194,50,0.057288
27.44797,50,0.05911
23.898899,36,0.060426
24.890284,37,0.062216
23.670164,31,0.063386
26.56859,50,0.065201
25.633223,50,0.067029
27.189129,50,0.06931
27.098402,50,0.071169
27.643235,50,0.072992
24.87228,37,0.074358
30.338742,48,0.077005
26.796061,50,0.078901
25.336908,38,0.080422
25.471228,41,0.081955
28.550475,50,0.08433
23.367148,34,0.085597
26.566307,50,0.087404
26.979053,50,0.089242
23.955468,34,0.091064
29.619649,50,0.092955
23.426875,33,0.09433
27.692103,50,0.096178
25.067767,40,0.09818
27.00057,42,0.099739
25.597619,50,0.101552
27.677744,44,0.103147
26.335455,38,0.105173
26.800038,50,0.107027
26.880876,50,0.108913
26.59345,50,0.110764
25.958839,50,0.113189
20.826006,28,0.114256
27.065578,43,0.115831
28.474539,50,0.117659
28.426831,50,0.120044
21.442059,28,0.121102
26.807225,50,0.122907
21.683235,50,0.124746
28.694347,50,0.127169
28.257958,50,0.129093
25.148568,50,0.130989
28.152428,50,0.13291
27.2813,50,0.135237
26.662264,50,0.137103
21.900275,31,0.138251
24.374149,36,0.139573
28.1862,50,0.141848
29.440006,48,0.143633
25.409065,50,0.145452
25.839468,39,0.146905
26.720636,50,0.151961
22.09162,50,0.153842
39.620209,50,0.155898
22.367196,50,0.157719
29.097714,47,0.160055
22.242944,50,0.161977
23.419126,34,0.163292
28.108953,44,0.164981
21.177315,28,0.166518
30.092802,49,0.168344
21.972886,50,0.170204
26.818088,41,0.171736
27.718768,50,0.174105
27.639639,45,0.175832
21.144916,50,0.177703
24.798407,50,0.179593
24.213611,50,0.181859
23.705947,50,0.183751
26.853233,45,0.18542
27.772064,50,0.187265
29.777461,49,0.18958
26.172818,50,0.191417
25.009127,50,0.193265
25.993052,36,0.194601
24.755857,38,0.196534
28.166688,48,0.198311
28.851502,50,0.200178
27.817344,50,0.202
26.750882,50,0.204382
27.335681,50,0.206216
25.335491,50,0.208049
24.557115,37,0.209401
27.951128,50,0.211734
26.097871,50,0.213577
