#{"t_start": 1764146720.488374, "env_id": "None"}
r,l,t
41.322432,39,0.013385
41.214377,40,0.02143
44.24843,42,0.02979
47.478932,60,0.041594
50.460754,55,0.052413
47.316615,60,0.064213
50.288051,60,0.174083
39.669813,34,0.180891
50.47369,60,0.192672
49.323652,56,0.203736
36.663592,30,0.20968
45.309266,48,0.21908
39.930789,39,0.295223
40.929219,37,0.302661
48.97801,60,0.314457
42.360623,43,0.322931
39.07688,33,0.329431
39.719317,36,0.336498
49.020133,58,0.347837
32.999525,23,0.419825
30.183677,20,0.423865
48.83092,51,0.433857
38.40883,33,0.440335
46.259542,48,0.449697
40.1176,33,0.456149
46.747756,47,0.465282
40.108019,38,0.47266
44.720319,43,0.552851
38.413679,32,0.559334
35.580252,29,0.565156
44.523909,43,0.573682
45.518863,45,0.582753
42.749794,42,0.591119
40.525592,35,0.59807
38.020645,30,0.604052
39.856463,36,0.684473
29.683952,17,0.687981
38.285429,32,0.69434
39.639239,34,0.701032
32.790226,24,0.705765
43.506075,41,0.713805
40.588532,37,0.721079
39.02701,35,0.727936
40.592337,35,0.734771
37.608848,31,0.808302
34.949687,26,0.8136
30.420156,17,0.817025
31.759044,18,0.820618
32.497456,21,0.824796
38.919948,32,0.83111
36.017063,28,0.836634
38.263683,34,0.843323
40.115226,34,0.849986
31.981147,24,0.854731
35.135624,25,0.859662
36.635453,28,0.865144
30.683739,18,0.936142
32.433997,20,0.940225
32.477717,20,0.94425
33.911165,23,0.948833
34.017363,24,0.953578
33.673986,24,0.958316
37.037858,29,0.964001
32.90363,23,0.968525
38.80888,30,0.974386
31.933743,20,0.97832
30.911566,20,0.982235
30.920889,18,0.985763
28.252808,14,0.988557
29.576684,14,0.991333
30.47334,17,1.0617
30.030329,18,1.065373
32.755303,20,1.069378
29.218671,15,1.072392
32.200686,20,1.076365
33.114879,21,1.080565
29.640126,15,1.083552
33.470873,21,1.087726
29.217133,14,1.090549
37.385787,27,1.09587
28.538516,13,1.098461
33.458413,22,1.102799
30.00741,17,1.106159
32.705694,18,1.109733
28.485644,14,1.112531
39.325267,34,1.119237
33.206248,21,1.19018
30.181894,16,1.193744
33.117676,22,1.198368
31.354458,16,1.201593
31.069452,17,1.20497
35.498076,27,1.210296
27.049594,11,1.212494
28.762818,15,1.215481
31.061032,18,1.219047
28.933306,14,1.221837
28.885575,14,1.22466
30.036946,17,1.228053
29.795518,15,1.23106
29.836962,16,1.234222
30.75114,17,1.23759
29.811176,14,1.240397
28.685506,15,1.243408
28.632964,12,1.245829
29.008274,14,1.315985
29.5211,16,1.319283
33.057622,21,1.323496
31.04922,17,1.326927
29.867627,17,1.330354
29.157003,15,1.333375
33.251584,22,1.337743
26.84654,10,1.339759
31.515659,18,1.343358
29.15807,15,1.346362
30.380655,17,1.349768
27.053682,11,1.351981
29.375647,13,1.35459
29.796196,15,1.35769
32.540793,19,1.361479
30.404874,17,1.364863
29.89598,16,1.368081
30.824438,18,1.371653
28.941075,15,1.374653
31.247452,17,1.444682
31.032296,18,1.44836
29.481488,14,1.451176
31.288691,18,1.454793
29.619016,15,1.457802
31.253543,18,1.4614
30.222246,17,1.464798
30.462706,18,1.468384
28.878395,14,1.471173
37.674641,28,1.47671
31.775193,18,1.480284
30.306794,15,1.483284
32.71842,19,1.487044
32.535744,21,1.491205
29.504058,14,1.494014
31.900867,19,1.497785
38.14086,29,1.570099
34.130454,23,1.574739
35.473466,24,1.579547
28.442007,13,1.58216
27.525742,12,1.584582
33.215622,22,1.588941
30.706787,17,1.5923
31.277558,19,1.596039
29.09876,13,1.598643
32.867669,20,1.602583
28.572819,14,1.605356
30.561827,16,1.608519
29.422178,14,1.611272
31.744652,18,1.614836
34.35874,22,1.619162
33.479975,22,1.623497
34.305547,21,1.627633
31.282934,17,1.700434
30.516987,15,1.703532
29.186243,15,1.70657
30.533822,16,1.709784
29.167291,14,1.712594
26.329298,9,1.714418
34.323659,23,1.719016
33.08994,20,1.723024
28.686606,13,1.725629
31.448166,18,1.729198
31.51937,17,1.732582
28.846852,15,1.735601
34.147079,23,1.740125
29.794536,14,1.742926
28.648116,13,1.745513
28.937131,14,1.748349
30.534956,17,1.75173
28.658704,13,1.754388
29.146663,13,1.756975
35.340325,24,1.829052
33.355321,21,1.833269
31.530301,17,1.83668
31.119508,17,1.840072
31.077156,16,1.843291
31.04643,16,1.846502
31.149074,16,1.849689
29.344594,14,1.852487
28.990348,13,1.855095
31.074374,18,1.858658
30.635625,17,1.862043
31.997781,19,1.865831
29.590369,15,1.868881
28.932293,13,1.871563
32.755506,18,1.875182
31.843241,18,1.878741
29.889064,15,1.881718
27.350923,12,1.884104
29.829329,14,1.954765
31.257834,18,1.958462
31.804986,17,1.961884
32.610221,20,1.965863
30.67992,16,1.969055
29.92081,15,1.97204
31.053345,16,1.975215
31.786127,19,1.978973
32.865848,20,1.982915
31.240319,18,1.98646
29.310796,14,1.989249
29.801431,14,1.992034
31.419132,18,1.995581
29.305056,15,1.998564
30.024815,15,2.001523
31.364878,17,2.004882
30.145678,17,2.008254
32.631893,20,2.012167
33.790455,20,2.083136
30.821747,16,2.08639
35.264431,22,2.090803
31.975958,18,2.094385
28.771569,13,2.096989
30.402805,16,2.100168
31.650313,18,2.103724
30.947008,17,2.107089
44.624489,38,2.114514
33.536283,22,2.118853
33.923928,21,2.123027
33.775104,22,2.12736
32.418514,18,2.130959
30.873337,16,2.134126
31.105614,16,2.137287
31.40227,19,2.208049
36.088903,25,2.21315
38.327578,28,2.21876
39.677373,34,2.22551
31.806453,18,2.229106
35.122742,22,2.233484
34.606077,23,2.23806
34.917634,22,2.242435
39.547148,32,2.248741
33.594352,20,2.25271
30.891729,18,2.256298
33.784516,22,2.260658
34.928102,26,2.333525
32.015489,19,2.337522
32.004649,19,2.341362
32.284463,19,2.345173
46.174555,39,2.352879
31.851207,18,2.35646
29.628902,15,2.359445
31.378102,18,2.363025
35.909552,25,2.368003
36.406969,24,2.372791
39.713175,32,2.379124
32.45372,19,2.382908
37.778616,28,2.388462
31.970886,19,2.392242
41.23258,33,2.466537
33.366757,20,2.470611
32.408577,21,2.474813
29.193325,14,2.477637
34.111403,22,2.481995
32.494796,20,2.485958
34.654219,23,2.4905
36.916664,26,2.495639
33.681081,20,2.4996
31.158506,17,2.502972
32.018079,18,2.506534
38.701334,29,2.512242
31.309976,19,2.516016
38.994331,30,2.588633
35.038557,26,2.593943
36.703809,27,2.599327
33.913196,22,2.603711
37.878974,29,2.609448
49.474417,47,2.618652
38.253348,29,2.624374
34.280184,21,2.628515
29.4085,14,2.631335
33.320839,20,2.635317
36.100452,26,2.640452
33.058361,19,2.644248
33.401466,23,2.715329
35.473349,25,2.720376
37.173134,29,2.726161
39.852637,31,2.732286
44.10105,40,2.740128
39.926004,32,2.746445
33.65716,23,2.751028
30.974122,17,2.754394
41.759087,34,2.761058
32.046828,19,2.764825
32.068457,18,2.768399
35.072125,24,2.840621
32.825452,20,2.844821
31.108517,17,2.848286
46.27498,41,2.856399
38.657928,29,2.862161
39.748718,33,2.868733
41.60955,32,2.875074
41.084639,33,2.881577
36.971394,28,2.88712
38.083542,29,2.892861
41.55094,35,2.899751
35.882981,25,2.971822
36.142627,26,2.977101
31.779582,17,2.980505
31.031947,17,2.983898
37.263614,27,2.989228
44.761893,40,2.997152
42.431081,36,3.004315
36.888942,25,3.009325
38.512314,27,3.014729
38.359065,30,3.020628
42.3843,35,3.095764
41.706193,37,3.103171
34.72563,22,3.107571
33.214211,21,3.11171
35.617121,25,3.116684
37.600388,27,3.121989
34.327421,22,3.126354
41.905535,35,3.133233
32.351494,20,3.137194
47.237019,43,3.145572
39.815908,32,3.151814
49.575315,49,3.229072
35.76325,27,3.234456
34.480268,23,3.239012
44.051478,40,3.246852
37.311404,28,3.252397
39.097682,31,3.258443
39.100904,31,3.264498
37.696699,28,3.270007
34.646399,23,3.274516
41.170383,33,3.350644
42.344812,35,3.357992
44.731054,39,3.365931
39.009266,30,3.372059
39.848871,32,3.37857
36.501478,26,3.384505
45.355227,41,3.393801
39.325879,29,3.400464
36.892619,27,3.406646
36.451376,27,3.412833
39.933738,33,3.556016
39.792647,32,3.563329
39.156628,31,3.570322
31.772089,19,3.574657
36.592405,27,3.580707
36.616153,28,3.586986
32.139318,18,3.591047
42.886601,40,3.599941
46.023708,41,3.609038
34.131828,21,3.613285
46.059822,43,3.690035
49.760909,50,3.700054
44.994226,39,3.707802
41.850357,36,3.714892
40.258727,34,3.721572
35.557107,25,3.726518
32.752153,21,3.730728
40.181048,32,3.737012
38.19674,28,3.742509
42.424924,35,3.815965
39.713829,31,3.822171
45.928223,40,3.830117
33.661476,21,3.834287
31.74513,17,3.837663
44.667123,39,3.845345
42.090506,34,3.852004
37.809356,29,3.857699
39.935095,30,3.863571
35.94532,25,3.868477
48.188799,45,3.944492
35.744236,25,3.949512
31.676386,17,3.9529
35.371847,25,3.957842
40.667317,33,3.964307
46.24126,41,3.97235
48.453897,45,3.981131
32.718005,20,3.985074
30.500842,16,3.988243
35.581365,24,3.992929
34.621115,23,4.06426
36.460315,27,4.06983
44.488106,41,4.077947
35.122547,23,4.082494
52.612706,60,4.094193
43.166953,39,4.101855
34.444717,22,4.106171
43.542882,41,4.114126
35.641063,25,4.119018
37.48916,30,4.192192
37.928838,33,4.198785
29.269738,14,4.201595
39.704464,31,4.207711
46.8948,47,4.216926
38.683405,31,4.223109
43.233082,38,4.230549
42.373156,37,4.237782
49.119159,50,4.247641
36.418166,25,4.321798
39.598213,34,4.328712
37.374588,28,4.33431
48.277802,47,4.343578
50.194119,52,4.353767
50.433333,60,4.365795
47.979189,50,4.375605
42.039867,40,4.451812
48.999956,48,4.461354
41.498106,35,4.468249
44.052803,40,4.476136
41.454955,41,4.48427
38.988783,31,4.490889
41.196962,35,4.497932
43.890859,38,4.505892
44.984055,40,4.585191
37.033886,28,4.591009
32.514721,21,4.595314
38.981365,32,4.601667
39.406604,31,4.607863
39.008337,35,4.614786
34.176791,24,4.619582
36.904033,29,4.625697
46.302743,44,4.634541
51.125064,57,4.716242
34.756236,25,4.721404
32.844591,21,4.725871
51.908263,58,4.737427
46.908687,49,4.747306
32.542235,20,4.751313
46.822879,49,4.761429
38.123203,29,4.767312
43.338685,44,4.845992
41.644609,37,4.853469
52.551181,59,4.865342
43.382054,42,4.873768
44.980867,41,4.881946
40.488573,39,4.88983
40.53499,34,4.896679
43.096113,44,4.975016
31.564382,19,4.978896
41.44676,36,4.986049
50.57599,50,4.996355
41.528398,36,5.003516
40.722795,33,5.01046
38.898268,33,5.017025
36.361289,26,5.022154
39.678147,32,5.028507
51.549209,60,5.108102
41.662268,36,5.115298
41.79506,40,5.123177
51.761441,57,5.134371
68.586431,60,5.146097
67.758088,60,5.224551
51.527556,56,5.235726
48.515256,55,5.24663
52.04934,58,5.257976
39.53588,34,5.264665
43.542554,44,5.273303
51.705393,60,5.352255
48.329397,49,5.362024
45.760584,60,5.374191
47.199083,60,5.385889
37.196892,28,5.391423
39.998875,35,5.398254
53.484744,60,5.476621
35.855865,26,5.481926
41.100462,34,5.488725
44.936862,44,5.497445
48.711394,50,5.507277
69.600132,60,5.519002
38.467588,31,5.525126
35.038262,24,5.529841
38.818951,29,5.603591
36.980415,29,5.609576
45.167071,44,5.618249
33.634597,23,5.622795
40.082236,33,5.629328
45.575283,46,5.638354
49.511547,60,5.650035
34.81555,22,5.654376
32.973715,19,5.658128
50.890317,54,5.73621
48.816679,51,5.746305
40.983573,35,5.753165
50.153661,60,5.764782
42.643143,39,5.77244
53.155851,60,5.784129
52.959381,59,5.862384
40.851344,35,5.869308
49.844888,60,5.881003
44.488741,40,5.88885
51.718714,58,5.900178
49.862123,60,5.911881
43.862401,40,5.986414
40.920948,33,5.992935
50.05632,48,6.002328
50.458268,47,6.011515
48.286165,50,6.021181
40.543714,32,6.02749
50.793173,50,6.037219
33.633754,20,6.107784
45.531531,44,6.116513
50.286922,55,6.127296
52.665172,60,6.138983
53.637802,55,6.149709
40.18765,35,6.15659
39.89197,34,6.163227
38.938057,36,6.237085
52.152961,53,6.247606
45.141091,43,6.256025
50.665443,55,6.266758
50.271709,60,6.278375
50.2988,60,6.290008
49.121528,60,6.368321
50.30661,60,6.380312
50.794685,60,6.392034
47.256254,51,6.401952
49.09609,60,6.413625
54.507084,59,6.491892
39.441629,33,6.498422
41.111181,38,6.505897
46.152396,60,6.517602
50.860971,60,6.529267
49.210692,47,6.538385
46.359011,48,6.615455
49.998135,51,6.625509
48.95545,46,6.634524
51.76724,60,6.646276
46.277125,60,6.657958
52.835183,57,6.736281
54.570872,60,6.748182
49.310743,60,6.759918
51.295859,60,6.771584
42.340571,39,6.779217
46.525886,50,6.788944
53.044947,55,6.865984
42.639881,39,6.873652
40.733339,34,6.880354
51.916308,60,6.892029
47.29803,47,6.901148
46.637373,44,6.90973
44.603839,44,6.918317
49.065509,48,6.994365
36.725849,27,6.999716
48.267659,50,7.009486
49.861457,51,7.019403
43.928537,41,7.027391
32.921011,24,7.032091
46.124045,44,7.040618
44.704038,46,7.116783
53.102568,56,7.127829
50.140558,54,7.138379
39.958179,35,7.145299
38.200406,30,7.151204
38.562702,32,7.157505
49.148074,49,7.167124
37.65464,27,7.241317
46.788485,60,7.253205
50.837412,60,7.264986
49.255176,48,7.274386
37.227102,28,7.27992
49.31191,60,7.291644
39.127031,30,7.297618
50.16708,60,7.38295
49.087353,48,7.39257
71.13401,60,7.404581
51.634445,51,7.415144
47.206777,60,7.427413
49.482202,47,7.506291
48.642863,50,7.516393
51.091029,60,7.528327
44.194387,40,7.536806
48.660579,60,7.54975
43.837668,40,7.557727
40.760802,34,7.634895
47.032275,42,7.643431
