#{"t_start": 1764065508.5763042, "env_id": "None"}
r,l,t
26.246624,45,0.016234
39.045801,50,0.027844
23.528926,31,0.03502
21.779181,34,0.042881
21.54376,30,0.049797
23.505434,50,0.061366
25.080874,50,0.072868
26.733302,50,0.084408
28.390461,43,0.094256
26.176498,39,0.103202
22.353876,50,0.116103
27.256482,50,0.127684
26.800993,50,0.139155
25.939388,50,0.150672
24.057455,50,0.16213
23.40494,37,0.170664
28.081935,48,0.18162
25.710254,50,0.19302
25.098206,50,0.204448
29.739862,49,0.215587
28.735125,50,0.226972
26.577148,50,0.238486
27.185342,43,0.249876
28.891189,49,0.261801
26.714146,41,0.271372
22.593816,50,0.2828
26.872201,50,0.294311
21.991343,34,0.302092
24.787087,37,0.310586
26.735392,50,0.321983
22.301905,31,0.329044
26.896199,50,0.340415
28.635904,50,0.35182
18.646682,23,0.357075
29.584282,50,0.368462
25.19772,50,0.379831
29.288684,50,0.391211
21.221199,26,0.397162
29.432369,44,0.40721
24.619566,37,0.416033
29.51641,50,0.427441
24.438462,50,0.438827
24.20072,50,0.450154
22.185105,50,0.46153
24.517741,37,0.469992
26.358094,45,3.229309
23.589695,32,3.23698
26.136577,50,3.248557
24.42114,33,3.256181
26.973192,45,3.266539
40.496612,50,3.277999
26.752044,42,3.287623
25.893154,38,3.296383
25.904901,37,3.304922
20.518263,26,3.310925
27.358563,42,3.320553
26.417032,39,3.329505
28.517434,47,3.340297
27.923521,44,3.350329
30.539488,49,3.361531
26.49103,37,3.36999
20.221612,24,3.375501
22.954306,34,3.383286
23.091211,33,3.39084
28.71134,50,3.402232
22.654815,50,3.413596
30.026572,46,3.424288
29.085024,50,3.435907
29.811562,48,3.446816
21.076181,27,3.452968
24.128751,35,3.460943
40.738874,50,3.472314
30.10892,50,3.483713
27.677934,39,3.492586
24.303763,35,3.500561
24.477816,35,3.508562
25.511674,50,3.519901
27.952188,43,3.529727
29.671001,50,3.541028
39.165249,50,3.55237
23.821865,34,3.560115
29.900112,50,3.571489
28.88133,50,3.582887
28.106079,50,3.594268
30.437382,50,3.605652
28.209108,41,3.615016
24.77283,36,3.623247
19.156078,19,3.627607
23.26846,34,3.635348
38.580747,50,3.646707
